"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10"
0,0,0.9875,0,0,0,0.0125,0,0,0
0.136842105263158,0.389473684210526,0.00526315789473684,0,0.0105263157894737,0,0.442105263157895,0.0105263157894737,0.00526315789473684,0
0.0166666666666667,0.538888888888889,0,0,0,0,0.238888888888889,0,0.205555555555556,0
0,0,0,0,0.271428571428571,0,0.528571428571429,0.0857142857142857,0,0.114285714285714
0.15,0,0,0,0,0.0125,0.5625,0,0.275,0
0,0,0.225,0,0,0,0.775,0,0,0
0,0,0.188235294117647,0.0411764705882353,0,0,0.682352941176471,0,0.0823529411764706,0.00588235294117647
0,0,0.19,0.105,0.01,0.015,0.145,0.005,0.53,0
0,0,0,0.111111111111111,0,0,0,0.888888888888889,0,0
0.00769230769230769,0,0,0.00769230769230769,0,0.984615384615385,0,0,0,0
0.01,0.01,0,0,0,0.02,0.95,0,0,0.01
0,0.288888888888889,0,0,0,0,0.705555555555556,0,0.00555555555555556,0
0.363157894736842,0,0,0,0,0,0.626315789473684,0.0105263157894737,0,0
0.0166666666666667,0,0,0,0,0.2,0.2,0,0.525,0.0583333333333333
0,0,0.176923076923077,0.0307692307692308,0.0153846153846154,0,0.430769230769231,0,0.346153846153846,0
0.321428571428571,0.585714285714286,0,0,0,0,0,0,0.0928571428571429,0
0,0,0.145454545454545,0,0,0,0.854545454545454,0,0,0
0.00714285714285714,0,0.528571428571429,0.05,0.00714285714285714,0.407142857142857,0,0,0,0
0.0117647058823529,0.152941176470588,0.1,0,0.2,0.00588235294117647,0.429411764705882,0,0.1,0
0.0428571428571429,0.00714285714285714,0.0142857142857143,0.0357142857142857,0,0,0.564285714285714,0.314285714285714,0.0214285714285714,0
0.326086956521739,0,0.156521739130435,0.0956521739130435,0,0,0.408695652173913,0,0.0130434782608696,0
0.0772727272727273,0.0181818181818182,0,0,0.0363636363636364,0.0272727272727273,0.409090909090909,0,0.427272727272727,0.00454545454545455
0.130434782608696,0.00869565217391304,0,0,0.121739130434783,0,0.617391304347826,0.121739130434783,0,0
0,0.0214285714285714,0.00714285714285714,0.135714285714286,0,0.00714285714285714,0.235714285714286,0,0.592857142857143,0
